,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
5,5,Harbor BioSciences,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",1/1/12,8/12/11,2825000,Seed,2825000,Operating
7,7,Autocosta,Transportation,"Los Angeles, California, United States",4/1/12,1/1/12,1100000,Seed,1100000,Operating
43,43,GetHired.com,"Professional Services, Internet Services","Palo Alto, California, United States",1/30/12,1/30/12,1750000,Seed,1750000,Operating
51,51,Who@,"Information Technology, Software, Mobile","San Francisco, California, United States",1/1/12,2/1/12,2200000,Seed,2200000,Operating
78,78,Metaresolver,"Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",1/1/12,3/19/12,1850000,Seed,1850000,Was Acquired
98,98,Cloze,"Apps, Media and Entertainment, Software, Internet Services, Mobile","Somerville, Massachusetts, United States",2/2/12,4/2/12,1200000,Seed,1200000,Operating
99,99,Wittlebee,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Culver City, California, United States",1/1/12,4/5/12,2500000,Seed,2500000,Was Acquired
106,106,CrowdANALYTIX Inc,Data and Analytics,"Sunnyvale, California, United States",4/24/12,5/1/12,2000000,Seed,2000000,Operating
112,112,Couple,"Platforms, Hardware, Consumer Electronics, Software, Mobile","San Francisco, California, United States",1/1/12,5/2/12,4200000,Seed,4225888,Was Acquired
113,113,VMO Systems,"Media and Entertainment, Administrative Services, Mobile","Boulder, Colorado, United States",2/1/12,5/7/12,2592115,Seed,2592115,Operating
129,129,E & E Capital Management,"Real Estate, Financial Services","Atlanta, Georgia, United States",1/1/12,6/1/12,4000000,Seed,4000000,Operating
147,147,Gradient X,"Sales and Marketing, Mobile, Advertising","Santa Monica, California, United States",1/1/12,6/20/12,3750000,Seed,3750000,Was Acquired
151,151,CasaHop,Travel and Tourism,"New York, New York, United States",1/1/12,6/26/12,1200000,Seed,1200000,Closed
153,153,#waywire,"Media and Entertainment, Government and Military, Internet Services, Content and Publishing","New York, New York, United States",6/1/12,6/30/12,1750000,Seed,1750000,Was Acquired
165,165,streamOnce,"Media and Entertainment, Software, Internet Services","San Jose, California, United States",7/1/12,7/1/12,1360000,Seed,1360000,Operating
167,167,Searchperience Inc.,"Commerce and Shopping, Software, Internet Services","Burlingame, California, United States",9/1/14,7/1/12,2000000,Seed,2250000,Operating
181,181,PayDragon,"Apps, Commerce and Shopping, Food and Beverage, Software, Mobile","Los Angeles, California, United States",1/1/12,7/27/12,1350000,Seed,1350000,Closed
185,185,Bomoda,"Clothing and Apparel, Consumer Goods, Design","New York, New York, United States",1/1/12,8/1/12,2200000,Seed,2200000,Operating
195,195,One Jackson,"Hardware, Commerce and Shopping, Consumer Electronics","Palo Alto, California, United States",1/1/12,8/3/12,2000000,Seed,2000000,Was Acquired
215,215,Wallaby Financial,"Software, Internet Services, Financial Services, Lending and Investments","Pasadena, California, United States",1/1/12,8/30/12,1100000,Seed,1100000,Was Acquired
249,249,"Coterie, Inc.","Media and Entertainment, Internet Services","San Francisco, California, United States",4/1/12,9/21/12,1500000,Seed,1500000,Was Acquired
250,250,Double Robotics,"Platforms, Science and Engineering, Hardware, Software, Mobile","Burlingame, California, United States",1/1/12,9/21/12,1900000,Seed,1900000,Operating
254,254,Bureau Of Trade,Commerce and Shopping,"San Francisco, California, United States",1/1/12,9/27/12,1200000,Seed,1200000,Was Acquired
286,286,HaulerDeals,"Commerce and Shopping, Media and Entertainment, Clothing and Apparel, Consumer Goods, Internet Services, Video, Content and Publishing, Design","West Hollywood, California, United States",1/1/12,10/31/12,1250000,Seed,1250000,Operating
300,300,Monogram,"Platforms, Commerce and Shopping, Media and Entertainment, Software, Content and Publishing, Mobile","Mountain View, California, United States",1/1/12,11/2/12,400000,Seed,1240000,Operating
306,306,iMOSPHERE,Data and Analytics,"Chicago, Illinois, United States",1/1/12,11/7/12,1800000,Seed,1800000,Operating
315,315,TenderTree,"Commerce and Shopping, Real Estate, Health Care, Internet Services","San Francisco, California, United States",1/1/12,11/14/12,1300000,Seed,1300000,Closed
360,360,DataPad,"Information Technology, Data and Analytics, Software, Design","San Francisco, California, United States",1/1/12,1/1/13,1700000,Seed,1700000,Was Acquired
363,363,Keychain Logistics,"Media and Entertainment, Software, Transportation","San Francisco, California, United States",1/1/12,1/1/13,2520000,Seed,2520000,Operating
371,371,Blurr,"Media and Entertainment, Internet Services, Content and Publishing","Los Angeles, California, United States",1/1/13,1/1/13,2370000,Seed,2370000,Operating
381,381,Helpa,"Sales and Marketing, Internet Services, Privacy and Security, Advertising","Santa Monica, California, United States",1/1/13,1/1/13,2000000,Seed,2000000,Operating
383,383,ideaTree - innovate | mentor | invest,"Media and Entertainment, Internet Services, Financial Services, Lending and Investments, Mobile","Beverly Hills, California, United States",8/10/12,1/1/13,3000000,Seed,3250000,Operating
385,385,Lorena Gaxiola,Commerce and Shopping,"San Diego, California, United States",1/1/13,1/1/13,1500000,Seed,1500000,Operating
426,426,HealthyOut,"Health Care, Internet Services","New York, New York, United States",1/1/12,1/14/13,1200000,Seed,1200000,Was Acquired
435,435,Brazzlebox,"Media and Entertainment, Community and Lifestyle, Internet Services","Syracuse, New York, United States",2/5/12,1/20/13,1300000,Seed,1300000,Operating
439,439,Treasure Valley Surgery Center,"Biotechnology, Science and Engineering, Health Care","Nampa, Idaho, United States",1/1/12,1/25/13,84000,Seed,1062000,Operating
441,441,Emu Messenger,"Platforms, Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Artificial Intelligence, Mobile","Palo Alto, California, United States",2/26/12,1/28/13,1500000,Seed,1500000,Was Acquired
446,446,Ellie,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Santa Monica, California, United States",5/23/12,2/1/13,2000000,Seed,2000000,Operating
469,469,EvntLive,"Media and Entertainment, Music and Audio","Redwood City, California, United States",1/1/12,2/7/13,2300000,Seed,2300000,Was Acquired
474,474,Livrada,"Hardware, Commerce and Shopping, Consumer Electronics, Software, Financial Services","Monrovia, California, United States",1/1/12,2/11/13,1000000,Seed,1410816,Closed
488,488,vidIQ,"Media and Entertainment, Software, Sales and Marketing, Internet Services, Video, Advertising","San Francisco, California, United States",1/1/12,2/26/13,2000000,Seed,4000000,Operating
491,491,Toro,"Apps, Software, Mobile, Advertising","San Francisco, California, United States",1/1/12,2/28/13,1500000,Seed,1500000,Was Acquired
501,501,We,Mobile,"San Francisco, California, United States",5/1/12,3/1/13,2000000,Seed,2000000,Operating
508,508,Parastructure,"Information Technology, Data and Analytics, Software, Design","San Francisco, California, United States",7/1/12,3/1/13,2500000,Seed,2500000,Was Acquired
510,510,Strike Social,"Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Advertising","Chicago, Illinois, United States",1/1/13,3/1/13,1300000,Seed,1300000,Operating
514,514,Shadow Puppet,"Media and Entertainment, Education, Video, Content and Publishing","San Francisco, California, United States",3/1/13,3/1/13,2000000,Seed,2000000,Operating
519,519,Cover Lockscreen,"Platforms, Apps, Software, Mobile","Burlingame, California, United States",3/1/13,3/1/13,1700000,Seed,1700000,Was Acquired
526,526,Cardize,"Information Technology, Software, Mobile","New York, New York, United States",3/1/12,3/4/13,1200000,Seed,1200000,Operating
528,528,Snoox,"Sales and Marketing, Internet Services","New York, New York, United States",1/1/12,3/6/13,2000000,Seed,2000000,Operating
529,529,Scoot & Doodle,"Software, Education","Palo Alto, California, United States",1/1/12,3/7/13,2250000,Seed,2250000,Closed
